park_code,campground,total_sites,reservable,amenities,nps_url
grsm,Elkmont Campground,211,True,Flush toilets|Potable water|Camp store|Tent sites,https://www.nps.gov/grsm/planyourvisit/elkmont-campground.htm
grsm,Cosby Campground,157,True,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/grsm/planyourvisit/cosby-campground-information.htm
grsm,Abrams Creek Campground,16,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/grsm/planyourvisit/abrams-creek-campground.htm
grsm,Big Creek Campground,12,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/grsm/planyourvisit/camping-at-big-creek.htm
grsm,Cataloochee Campground,27,True,Flush toilets|Potable water,https://www.nps.gov/grsm/planyourvisit/cataloochee-campground.htm
grsm,Deep Creek Campground,92,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/grsm/planyourvisit/deep-creek-campground.htm
grsm,Balsam Mountain Campground,43,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/grsm/planyourvisit/balsam-mountain.htm
grsm,Elkmont Group Campground,4,False,Flush toilets|Potable water|Dump station|Camp store|Tent sites,
grsm,Look Rock Campground,68,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/grsm/planyourvisit/look-rock-campground.htm
grsm,Cades Cove Group Campground,3,False,Flush toilets|Potable water|Dump station|Camp store|Tent sites,
grsm,Smokemont Group Campground,3,False,Flush toilets|Potable water|Dump station,
grte,Gros Ventre Campground,279,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Cell reception,https://www.nps.gov/grte/planyourvisit/gros-ventre-campground.htm
grte,Jenny Lake Campground,61,True,Flush toilets|Showers|Potable water|Camp store|Tent sites|Cell reception,https://www.nps.gov/grte/planyourvisit/jennylakecg.htm
grte,Signal Mountain Campground,81,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/grte/planyourvisit/signalmountaincg.htm
grte,Colter Bay Campground,324,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/grte/planyourvisit/colterbaycg.htm
grte,Colter Bay RV Park,112,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/grte/planyourvisit/colterbayrv.htm
grte,Colter Bay Tent Village,66,True,Flush toilets|Showers|Potable water|Camp store|Cell reception,https://www.nps.gov/grte/planyourvisit/colter-bay-tent-village.htm
grte,Lizard Creek Campground,60,True,Flush toilets|Potable water|Cell reception,https://www.nps.gov/grte/planyourvisit/lizardcreekcg.htm
grte,Headwaters Campground,171,False,Flush toilets|Showers|Potable water|Dump station|Camp store|RV friendly,https://www.nps.gov/grte/planyourvisit/headwaterscg.htm
guis,Davis Bayou Campground,52,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.recreation.gov/camping/campgrounds/250796
guis,Fort Pickens Campground,200,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.recreation.gov/camping/campgrounds/234704
guis,Naval Live Oaks Youth Group Camping,1,False,Flush toilets|Showers|Potable water|Cell reception,https://www.nps.gov/guis/planyourvisit/nlo-group.htm
guis,Fort Pickens Group Campground,0,False,,https://www.recreation.gov/camping/campsites/91444
guis,Davis Bayou Group Campground,0,False,,https://www.recreation.gov/camping/campsites/102929
gumo,Dog Canyon Campground,15,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/gumo/planyourvisit/dog_canyon_campground.htm
gumo,Pine Springs Campground,35,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/gumo/planyourvisit/pine_springs_campground.htm
gumo,Guadalupe Peak Wilderness Campground,5,False,Tent sites|Cell reception,https://www.nps.gov/gumo/planyourvisit/gp_wcg.htm
gumo,Pine Top Wilderness Campground,8,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/pt_wcg.htm
gumo,Bush Mountain Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/bm_wcg.htm
gumo,Blue Ridge Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/br_wcg.htm
gumo,Mescalero Wilderness Campground,8,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/mo_wcg.htm
gumo,Marcus Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/ms_wcg.htm
gumo,McKittrick Ridge Wilderness Campground,8,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/mr_wcg.htm
gumo,Wilderness Ridge Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/wr_wcg.htm
gumo,Shumard Canyon Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/sc_wcg.htm
gumo,Tejas Wilderness Campground,5,False,Tent sites,https://www.nps.gov/gumo/planyourvisit/ts_wcg.htm
