park_code,campground,total_sites,reservable,amenities,nps_url
laro,Spring Canyon Group Sites,2,False,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-group-springcanyon.htm
lavo,Manzanita Lake Campground,179,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/lavo/planyourvisit/manzanita-lake-campground.htm
lavo,Lost Creek Group Campground,8,True,Vault toilets|Potable water,https://www.nps.gov/lavo/planyourvisit/lost-creek-group-campground.htm
lavo,Summit Lake North Campground,46,True,Flush toilets|Potable water,https://www.nps.gov/lavo/planyourvisit/summit-lake-campground.htm
lavo,Summit Lake South Campground,49,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/lavo/planyourvisit/summit-lake-campground.htm
lavo,Southwest Campground - Summer/Fall,35,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/lavo/planyourvisit/southwest-walk-in-campground.htm
lavo,Southwest Campground - Winter/Spring,15,False,Flush toilets|Potable water,https://www.nps.gov/lavo/planyourvisit/southwest-walk-in-campground.htm
lavo,Butte Lake Campground,101,True,Vault toilets|Potable water,https://www.nps.gov/lavo/planyourvisit/butte-lake-campground.htm
lavo,Juniper Lake Campground,18,False,Vault toilets|Potable water,https://www.nps.gov/lavo/planyourvisit/juniper-lake-campground.htm
lavo,Warner Valley Campground,17,True,Vault toilets|Potable water,https://lassenlodging.com/warner-campground/
lavo,Backcountry Camping in Lassen's Wilderness,0,False,Potable water,https://www.nps.gov/lavo/planyourvisit/wilderness-permit-information.htm
maca,Mammoth Cave Campground,111,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,
maca,Maple Springs Group Campground,7,False,Vault toilets|Potable water|Electric hookups|RV friendly,
maca,Houchin Ferry Campground,12,False,Potable water|Tent sites,
meve,Morefield Campground,267,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/meve/planyourvisit/camping.htm
mnrr,Bow Creek Primitive Camping,5,False,Tent sites|Cell reception,https://www.nps.gov/mnrr/planyourvisit/campgrounds.htm
mnrr,Green Island Primitive Camping,5,False,Tent sites|Cell reception,https://www.nps.gov/mnrr/planyourvisit/campgrounds.htm
mnrr,Goat Island Primitive Camping,2,False,Tent sites,https://www.nps.gov/mnrr/planyourvisit/campgrounds.htm
moja,Hole-in-the-Wall Campground,38,True,Vault toilets|Potable water|Dump station,https://www.nps.gov/moja/planyourvisit/hole-in-the-wall-campground.htm
moja,Mid Hills Campground,26,True,Vault toilets,https://www.nps.gov/moja/planyourvisit/mid-hills-campground.htm
moja,Black Canyon Group and Equestrian Campground,2,True,Vault toilets|Potable water,https://www.nps.gov/moja/planyourvisit/black-canyon-group-and-equestrian-campground.htm
mora,Cougar Rock Campground,179,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/mora/planyourvisit/campgrounds.htm
mora,Ohanapecosh Campground,179,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/mora/planyourvisit/campgrounds.htm
mora,White River Campground,88,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/mora/planyourvisit/campgrounds.htm
nabr,Natural Bridges Campground,13,True,Vault toilets,https://www.nps.gov/nabr/planyourvisit/camping.htm
natr,"Meriwether Lewis Campground, Milepost 385.9",31,False,Flush toilets|Potable water,https://www.nps.gov/places/meriwether-lewis-campground-milepost-385-9.htm
natr,"Rocky Springs Campground, Milepost 54.8",22,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/natr/planyourvisit/camping.htm
natr,"Jeff Busby Campground, Milepost 193.1",18,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/natr/planyourvisit/camping.htm
nava,Sunset View Campground,0,False,Flush toilets|Potable water,
nava,Canyon View Campground,13,False,RV friendly|Tent sites,
neri,Stone Cliff,7,False,Tent sites|Cell reception,
neri,Army Camp,11,False,Cell reception,
neri,Brooklyn Campground,5,False,Tent sites|Cell reception,
neri,Grandview Sandbar,16,False,Tent sites|Cell reception,
neri,War Ridge/Backus Mountain Campground,8,False,Cell reception,
neri,Glade Creek Campground,11,False,Tent sites|Cell reception,
neri,Thayer Campground,4,False,Tent sites|Cell reception,
neri,Burnwood Group Campsite,1,False,Flush toilets|Potable water|Cell reception,
neri,Meadow Creek Campground,17,False,Cell reception,https://www.nps.gov/neri/planyourvisit/camping.htm
noca,Newhalem Creek Campground,107,True,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/234060
noca,Goodell Creek Campground,19,True,Vault toilets|Potable water|Cell reception,https://www.recreation.gov/camping/campgrounds/246852?tab=info
noca,Lower Goodell Group Campground,2,True,Vault toilets,https://www.recreation.gov/camping/campgrounds/234088
noca,Gorge Lake Campground,8,True,Vault toilets|Tent sites,https://www.recreation.gov/camping/campgrounds/10004932
noca,Colonial Creek North Campground,38,True,Flush toilets|Potable water|Tent sites,https://www.recreation.gov/camping/campgrounds/246855
noca,Colonial Creek South Campground,93,True,Flush toilets|Potable water|Dump station|Tent sites,https://www.recreation.gov/camping/campgrounds/255201
noca,Lakeview Campground,9,False,Flush toilets|Potable water|Camp store|Tent sites,
noca,Purple Point Campground,6,False,Flush toilets|Potable water|Tent sites,https://www.recreation.gov/camping/campgrounds/10101344
noca,Harlequin Campground,7,True,Vault toilets,https://www.recreation.gov/camping/campgrounds/10101324
noca,Hozomeen Campground,75,False,Vault toilets|Potable water,
obed,Rock Creek Campground,11,False,Vault toilets|Tent sites,https://www.nps.gov/obed/planyourvisit/campgrounds.htm
olym,Queets Campground,20,False,Vault toilets,https://www.nps.gov/olym/planyourvisit/queets-area-brochure.htm
olym,South Beach Campground,55,False,Vault toilets,https://www.nps.gov/olym/planyourvisit/kalaloch-area-brochure.htm
olym,North Fork Campground,9,False,Vault toilets,https://www.nps.gov/olym/planyourvisit/quinault-area-brochure.htm
olym,Ozette Campground,15,False,Flush toilets,https://www.nps.gov/olym/planyourvisit/lake-ozette-area-brochure.htm
olym,Kalaloch Campround,170,False,Flush toilets|Potable water|Dump station,https://www.nps.gov/olym/planyourvisit/kalaloch-area-brochure.htm
olym,Graves Creek Campground,30,False,Vault toilets,https://www.nps.gov/olym/planyourvisit/east-fork-quinault-river-trail.htm
olym,Heart O' the Hills Campground,97,False,Flush toilets|Potable water,https://www.nps.gov/olym/planyourvisit/heart-o-the-hills-area-brochure.htm
olym,Staircase Campground,49,True,Flush toilets|Potable water,https://www.nps.gov/olym/planyourvisit/staircase-area-brochure.htm
olym,Fairholme Campground,88,True,Flush toilets|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/olym/planyourvisit/lake-crescent-area-brochure.htm
olym,Mora Campground,94,True,Flush toilets|Potable water|Dump station,https://www.nps.gov/olym/planyourvisit/mora-area-brochure.htm
olym,Hoh Campground,78,False,Flush toilets|Potable water,https://www.nps.gov/olym/planyourvisit/hoh-rain-forest-area-brochure.htm
olym,Deer Park Campground,14,False,Vault toilets,https://www.nps.gov/olym/planyourvisit/deer-park-area-brochure.htm
orca,Cave Creek Campground,17,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/orca/planyourvisit/campgrounds.htm
orpi,Alamo Canyon Campground,4,False,Vault toilets|Tent sites,https://www.nps.gov/orpi/planyourvisit/alamo-canyon.htm
orpi,Twin Peaks Campground,208,True,Flush toilets|Showers|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/orpi/planyourvisit/twin-peaks.htm
ozar,Alley Spring Campground,146,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/ozar/planyourvisit/alley-spring-campground.htm
ozar,Big Spring Campground,123,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/ozar/planyourvisit/big-spring-campground-map11.htm
ozar,Round Spring Campground,55,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/ozar/planyourvisit/round-spring-campground.htm
ozar,Pulltite Campground,55,True,Flush toilets|Showers|Potable water|Camp store|Tent sites,https://www.nps.gov/ozar/planyourvisit/pulltite-campground.htm
ozar,Two Rivers Campground,22,True,Flush toilets|Showers|Potable water|Camp store|Tent sites,https://www.nps.gov/ozar/planyourvisit/two-rivers-campground.htm
ozar,Akers Group Campground,4,False,Vault toilets|Potable water|Camp store|Tent sites,https://www.nps.gov/ozar/planyourvisit/akers-campground.htm
ozar,Big Tree Campground,7,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/big-tree-campground.htm
ozar,Gooseneck Campground,7,False,Vault toilets|Potable water,https://www.nps.gov/ozar/planyourvisit/gooseneck-campground.htm
ozar,Clubhouse Campground,5,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/clubhouse-campground.htm
ozar,Cedar Spring Campground,2,False,,https://www.nps.gov/ozar/planyourvisit/cedar-spring-campground.htm
ozar,Grubb Hollow Campground,5,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/grubb-hollow-campground.htm
ozar,Powder Mill Campground,8,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/powder-mill-campground.htm
ozar,Log Yard Campground,6,False,Vault toilets|Potable water,https://www.nps.gov/ozar/planyourvisit/log-yard-campground.htm
ozar,Blue Spring Campground,7,False,Vault toilets|Tent sites,https://www.nps.gov/ozar/planyourvisit/blue-spring-campground.htm
ozar,Bay Creek Campground,11,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/bay-creek-campground.htm
ozar,Bachers Campground,1,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/bachers-campground.htm
ozar,Rymers Campground,4,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/rymers-campground.htm
ozar,Shawnee Creek Campground,6,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/shawnee-creek-campground.htm
ozar,Sinking Creek Campground,8,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/sinking-creek-campground.htm
ozar,Cedar Grove Campground,6,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/cedar-grove-campground.htm
ozar,Dee Murray Campground,5,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/dee-murray-campground.htm
ozar,Jerktail Campground,3,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/jerktail-campground.htm
ozar,Broadfoot Campground,4,False,Vault toilets,https://www.nps.gov/ozar/planyourvisit/broadfoot-campground.htm
pais,Malaquite Campground,48,False,Flush toilets|Showers|Potable water|Dump station|Tent sites,https://www.nps.gov/pais/planyourvisit/malaquite_campground.htm
pais,Bird Island Basin Campground,34,False,Vault toilets|Tent sites,https://www.nps.gov/pais/planyourvisit/bird-island-basin-campground.htm
pinn,Pinnacles Campground,134,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.visitpinnacles.com/
piro,Little Beaver Lake Campground,8,True,Vault toilets|Potable water,https://www.nps.gov/piro/planyourvisit/camping.htm
piro,Twelvemile Beach Campground,36,True,Vault toilets|Potable water,https://www.nps.gov/piro/planyourvisit/camping.htm
piro,Hurricane River Campground,21,True,Vault toilets|Potable water,https://www.nps.gov/piro/planyourvisit/camping.htm
piro,Masse Homestead Group Backpacking Site,1,False,Vault toilets|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Au Sable East Group Backpacking Site,1,False,Tent sites,
piro,Sevenmile Creek Group Backpacking Site,1,False,Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Trappers Lake Group Backpacking Site,1,False,Tent sites,
piro,Lowney Creek Group Backpacking Site,1,False,Tent sites,
piro,Coves Group Backpacking Site,1,False,Vault toilets|Potable water|Tent sites,
piro,Mosquito River Group Backpacking Site,1,False,Vault toilets|Potable water|Tent sites,
piro,Cliffs Group Backpacking Site,1,False,Vault toilets|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Masse Homestead Individual Backpacking Sites,3,False,Vault toilets|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Au Sable East Individual Backpacking Sites,6,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Benchmark Individual Backpacking Sites,6,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Sevenmile Creek Individual Backpacking Sites,5,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Trappers Lake Individual Backpacking Sites,5,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/piro/planyourvisit/backcountry.htm
piro,Pine Bluff Individual Backpacking Sites,5,False,Vault toilets|Potable water|Tent sites,
piro,Chapel Individual Backpacking Sites,6,False,Vault toilets|Potable water|Tent sites,
piro,Beaver Creek Individual Backpacking Sites,6,False,Vault toilets|Potable water|Tent sites,
piro,Lowney Creek Individual Backpacking Sites,4,False,Vault toilets|Potable water|Tent sites,
piro,Coves Individual Backpacking Sites,5,False,Vault toilets|Potable water|Tent sites,
piro,Mosquito River Individual Backpacking Sites,5,False,Vault toilets|Potable water|Tent sites,
piro,Potato Patch Individual Backpacking Sites,3,False,Vault toilets|Tent sites,
piro,Cliffs Individual Backpacking Sites,3,False,Vault toilets|Tent sites,
piro,Grand Sable Lake Boat-In Site,1,False,Vault toilets|Potable water|Tent sites,
pore,Glen Campground,12,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/pore/planyourvisit/glen-campground.htm
pore,Sky Campground,12,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/pore/planyourvisit/sky-campground.htm
pore,Wildcat Campground,8,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/pore/planyourvisit/wildcat-campground.htm
pore,Coast Campground,14,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/pore/planyourvisit/coast-campground.htm
pore,Tomales Bay Boat-in Camping,20,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/pore/planyourvisit/kayak_libc.htm
prwi,Prince William Forest RV Campground,72,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,http://www.princewilliamforestrvcampground.com/
prwi,Chopawamsic Backcountry Area,8,False,Vault toilets|Tent sites,https://www.nps.gov/prwi/planyourvisit/backcountrycamping.htm
prwi,Turkey Run Ridge Group Campground,9,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/prwi/planyourvisit/turkeyrunridge.htm
prwi,Oak Ridge Campground,100,True,Flush toilets|Showers|Potable water|Tent sites|Cell reception,https://www.nps.gov/prwi/planyourvisit/oakridge.htm
prwi,Cabin Camp 1 (By Reservation Only),1,False,Flush toilets|Showers|Potable water,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
prwi,Cabin Camp 2 (By Reservation Only),1,False,Flush toilets|Showers|Potable water,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
prwi,Cabin Camp 3 (Group Site By Reservation Only),1,False,Flush toilets|Showers|Potable water,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
prwi,Cabin Camp 4 (By Reservation Only),1,False,Flush toilets|Showers|Potable water,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
prwi,Cabin Camp 5 (By Reservation Only),1,False,Flush toilets|Showers|Potable water,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
prwi,Cabin Camp 3 (Individual Cabins),13,False,Flush toilets|Showers|Potable water|Cell reception,https://www.nps.gov/prwi/planyourvisit/individual-cabins.htm
redw,Elk Prairie Campground - Prairie Creek Redwoods State Park,75,False,Flush toilets|Showers|Potable water|RV friendly|Tent sites,https://www.nps.gov/redw/planyourvisit/elk-prairie-campground.htm
redw,Jedediah Smith Campground - Jedediah Smith Redwoods State Park,86,False,Flush toilets|Showers|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/redw/planyourvisit/jedediah-smith-campground.htm
redw,Mill Creek Campground - Del Norte Coast Redwoods State Park,145,False,Flush toilets|Showers|Potable water|Dump station|Tent sites,https://www.nps.gov/redw/planyourvisit/mill-creek-campground.htm
redw,Gold Bluffs Beach Campground - Prairie Creek Redwoods State Park,26,False,Flush toilets|Showers|Potable water|Cell reception,https://www.nps.gov/redw/planyourvisit/gold-bluffs-beach-campground.htm
romo,Aspenglen Campground,52,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/romo/planyourvisit/agcg.htm
romo,Glacier Basin Campground,150,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/romo/planyourvisit/gbcg.htm
romo,Timber Creek Campground,98,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/romo/planyourvisit/tccg.htm
romo,Moraine Park Campground,244,False,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/romo/planyourvisit/mpcg.htm
romo,Longs Peak Campground,26,False,Vault toilets|Tent sites,https://www.nps.gov/romo/planyourvisit/lpcg.htm
sacn,Namekagon District,67,False,Vault toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/sacn/planyourvisit/namekagon-river.htm
sacn,Middle St. Croix,57,False,Vault toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/sacn/planyourvisit/middlestcroix.htm
sacn,Lower St. Croix District,19,False,Tent sites|Cell reception,https://www.nps.gov/sacn/planyourvisit/lowerstcroix.htm
sagu,Douglas Spring,0,False,,
sagu,Spud Rock Spring,0,False,,
sagu,Manning Camp,6,False,Vault toilets|Potable water|Tent sites,
sagu,Happy Valley Saddle,0,False,,
sagu,Juniper Basin,0,False,,
sagu,Grass Shack,0,False,,
samo,Circle X Ranch Campground - CLOSED,1,False,Vault toilets,
seki,Potwisha Campground,42,True,Flush toilets|Potable water|Dump station,https://www.nps.gov/seki/planyourvisit/potwisha.htm
seki,Azalea Campground,110,True,Flush toilets|Potable water|Camp store|Cell reception,https://www.nps.gov/seki/planyourvisit/azalea.htm
seki,Cold Springs Campground,40,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/seki/planyourvisit/cold_springs.htm
seki,Atwell Mill Campground,21,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/seki/planyourvisit/atwell.htm
seki,Buckeye Flat Campground,27,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/seki/planyourvisit/buckeye.htm
seki,Sunset Campground,158,False,Flush toilets|Potable water|Camp store|Cell reception,https://www.nps.gov/seki/planyourvisit/sunset.htm
seki,Crystal Springs Campground,35,False,Flush toilets|Potable water|Camp store|Cell reception,https://www.nps.gov/seki/planyourvisit/crystal_springs.htm
seki,Crystal Springs Campground Group Sites,14,False,Flush toilets|Potable water|Camp store|Cell reception,https://www.nps.gov/seki/planyourvisit/crystal_springs_group.htm
seki,South Fork Campground,0,False,Vault toilets,https://www.nps.gov/seki/planyourvisit/south_fork.htm
seki,Lodgepole Campground,214,False,Flush toilets|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/seki/planyourvisit/lodgepole.htm
seki,Dorst Creek Campground,222,False,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/seki/planyourvisit/dorst.htm
seki,Sentinel Campground,82,True,Flush toilets|Potable water|Camp store,https://www.nps.gov/seki/planyourvisit/sentinel.htm
seki,Canyon View Group Campground,16,False,Flush toilets|Potable water|Camp store,https://www.nps.gov/seki/planyourvisit/canyon_view.htm
seki,Moraine Campground,121,False,Flush toilets|Potable water|Camp store,https://www.nps.gov/seki/planyourvisit/moraine.htm
seki,Sheep Creek Campground,111,True,Flush toilets|Potable water|Camp store,https://www.nps.gov/seki/planyourvisit/sheep_creek.htm
semo,Paul Grist State Park,0,False,,https://www.alapark.com/parks/paul-grist-state-park
semo,Prairie Creek,0,False,,https://www.recreation.gov/camping/campgrounds/232679
semo,Gunter Hill Campground,0,False,,https://www.recreation.gov/camping/campgrounds/232593
shen,Mathews Arm Campground,165,True,Flush toilets|Potable water|Dump station,https://www.nps.gov/shen/planyourvisit/mathews-arm-campground.htm
shen,Big Meadows Campground,221,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/shen/planyourvisit/big-meadows-campground.htm
shen,Lewis Mountain Campground,30,True,Flush toilets|Showers|Potable water|Camp store,https://www.nps.gov/shen/planyourvisit/lewis-mountain-campground.htm
shen,Loft Mountain Campground,207,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/shen/planyourvisit/loft-mountain-campground.htm
slbe,D. H. Day Campground,87,True,Vault toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/slbe/planyourvisit/dhdaycamp.htm
slbe,D. H. Day Campground Group Campground,4,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/slbe/planyourvisit/groupcamps.htm
slbe,Popple Campground - South Manitou Island,7,False,Vault toilets|Tent sites,https://www.nps.gov/slbe/planyourvisit/smicamping.htm
slbe,Weather Station Campground - South Manitou Island,23,False,Vault toilets|Tent sites,https://www.nps.gov/slbe/planyourvisit/smicamping.htm
slbe,White Pine Backcountry Campground,6,False,Vault toilets|Tent sites,https://www.nps.gov/slbe/planyourvisit/white-pine-backcountry-campground.htm
slbe,Village Campground - North Manitou Island,8,False,Vault toilets|Tent sites,https://www.nps.gov/slbe/planyourvisit/nmicamping.htm
slbe,Platte River Campground,179,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/slbe/planyourvisit/platterivercamp.htm
slbe,Bay Campground - South Manitou Island,28,False,Vault toilets|Tent sites,https://www.nps.gov/slbe/planyourvisit/smicamping.htm
thro,Cottonwood Campground,76,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/thro/planyourvisit/cottonwood-campground.htm
thro,Juniper Campground,50,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/thro/planyourvisit/juniper-campground.htm
thro,Roundup Group Horse Camp,1,True,Vault toilets|Potable water,https://www.nps.gov/thro/planyourvisit/roundup-group-horse-campground.htm
viis,Cinnamon Bay Beach and Campground,121,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/viis/planyourvisit/camping.htm
whis,Dry Creek Group Campground,2,False,Vault toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/whis/planyourvisit/dry-creek.htm
whis,Crystal Creek,2,False,Vault toilets|Tent sites|Cell reception,https://www.recreation.gov/camping/crystal-creek-primitive-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=156890
whis,Sheep Camp,4,False,Vault toilets|Tent sites|Cell reception,https://www.recreation.gov/camping/sheep-camp-primitive-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=156990
whis,Horse Camp,2,False,Vault toilets|Potable water|RV friendly|Tent sites|Cell reception,https://www.nps.gov/whis/planyourvisit/horse-camp.htm
whis,Peltier Bridge,9,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/whis/planyourvisit/peltier-bridge.htm
whis,Brandy Creek,2,False,Vault toilets|Cell reception,https://www.recreation.gov/camping/brandy-creek-primitive-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=156940
whis,Brandy Creek RV,15,True,Potable water|Dump station|RV friendly|Cell reception,https://www.nps.gov/whis/planyourvisit/brandy-creek-rv.htm
whsa,Backcountry Camping,10,False,Tent sites|Cell reception,https://www.nps.gov/whsa/planyourvisit/backpackingpr.htm
wica,Elk Mountain Campground,64,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/wica/planyourvisit/campgrounds.htm
wrst,Kendesnii Campground,10,False,Vault toilets,https://www.nps.gov/wrst/planyourvisit/camping-along-the-nabesna-road.htm
yell,Canyon Campground,273,False,Flush toilets|Showers|Potable water|Dump station|Cell reception,https://www.nps.gov/yell/planyourvisit/canyoncg.htm
yell,Bridge Bay Campground,432,False,Flush toilets|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/yell/planyourvisit/bridgebaycg.htm
yell,Fishing Bridge RV Park,310,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/yell/planyourvisit/fishingbridgecg.htm
yell,Grant Village Campground,430,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/yell/planyourvisit/grantcg.htm
yell,Madison Campground,276,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/yell/planyourvisit/madisoncg.htm
yell,Indian Creek Campground,70,False,Vault toilets|Potable water,https://www.nps.gov/yell/planyourvisit/indiancreekcg.htm
yell,Mammoth Campground,85,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/yell/planyourvisit/mammothhscg.htm
yell,Norris Campground,112,False,Flush toilets|Potable water,https://www.nps.gov/yell/planyourvisit/norrishscg.htm
yell,Pebble Creek Campground,27,False,Vault toilets|Potable water,https://www.nps.gov/yell/planyourvisit/pebblecreekcg.htm
yell,Tower Fall Campground,31,True,Vault toilets|Potable water|Camp store,https://www.nps.gov/yell/planyourvisit/towerfallcg.htm
yell,Lewis Lake Campground,85,True,Vault toilets|Potable water,https://www.nps.gov/yell/planyourvisit/lewislakecg.htm
yell,Slough Creek Campground,16,True,Vault toilets|Potable water,https://www.nps.gov/yell/planyourvisit/sloughcreekcg.htm
yose,Upper Pines Campground,236,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites|Cell reception,https://www.nps.gov/yose/planyourvisit/pinescampgrounds.htm
yose,Hodgdon Meadow Campground,100,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/yose/planyourvisit/hodgdoncamp.htm
yose,North Pines Campground,81,True,Flush toilets|Potable water|RV friendly|Cell reception,https://www.nps.gov/yose/planyourvisit/pinescampgrounds.htm
yose,Lower Pines Campground,74,True,Flush toilets|Potable water|RV friendly|Cell reception,https://www.nps.gov/yose/planyourvisit/pinescampgrounds.htm
yose,Wawona Campground,95,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites|Cell reception,https://www.nps.gov/yose/planyourvisit/wawonacamp.htm
yose,Tuolumne Meadows Campground,289,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites|Cell reception,https://www.nps.gov/yose/planyourvisit/tmcamp.htm
yose,Crane Flat Campground,148,True,Flush toilets|Potable water|Tent sites,https://www.nps.gov/yose/planyourvisit/cranecamp.htm
yose,Camp 4 Campground,61,True,Flush toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/yose/planyourvisit/camp4.htm
yose,White Wolf Campground,68,True,Vault toilets|Tent sites,https://www.nps.gov/yose/planyourvisit/wwcamp.htm
yose,Porcupine Flat Campground,55,True,Vault toilets|Tent sites,https://www.nps.gov/yose/planyourvisit/porcupinecamp.htm
yose,Yosemite Creek Campground,74,True,Vault toilets|Tent sites,https://www.nps.gov/yose/planyourvisit/ycreekcamp.htm
yose,Tamarack Flat Campground,52,True,Vault toilets|Tent sites,https://www.nps.gov/yose/planyourvisit/tamarack.htm
yose,Bridalveil Creek Campground,110,True,Flush toilets|Potable water|RV friendly|Tent sites,https://www.nps.gov/yose/planyourvisit/bvcamp.htm
yose,Wawona Horse Camp,2,False,Flush toilets|Potable water|Dump station,https://www.nps.gov/yose/planyourvisit/wawonahorsecamp.htm
yose,Tuolumne Meadows Horse Camp,4,False,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/yose/planyourvisit/tmhorsecamp.htm
yose,Bridalveil Creek Horse Camp,3,False,Flush toilets|Potable water|Cell reception,
zion,Watchman Campground,184,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/zion/planyourvisit/watchman-campground.htm
zion,South Campground,124,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/zion/planyourvisit/south-campground.htm
zion,Lava Point Campground,6,True,Vault toilets|Tent sites,https://www.recreation.gov/camping/campgrounds/10138237
