park_code,park_name,bird_species,mammal_species
indu,Indiana Dunes National Park,301,46
isro,Isle Royale National Park,247,20
jeca,Jewel Cave National Monument,85,29
jela,Jean Lafitte National Historical Park and Preserve,263,29
joda,John Day Fossil Beds National Monument,175,56
jofl,Johnstown Flood National Memorial,112,28
jomu,John Muir National Historic Site,91,24
jotr,Joshua Tree National Park,251,54
kaho,Kaloko-Honokōhau National Historical Park,92,11
kala,Kalaupapa National Historical Park,33,15
katm,Katmai National Park & Preserve,175,42
kaww,Katahdin Woods and Waters National Monument,171,25
keaq,Kenilworth Park & Aquatic Gardens,228,21
kefj,Kenai Fjords National Park,161,37
kemo,Kennesaw Mountain National Battlefield Park,207,19
kimo,Kings Mountain National Military Park,122,30
klgo,Klondike Gold Rush National Historical Park,177,35
knri,Knife River Indian Villages National Historic Site,144,36
kova,Kobuk Valley National Park,124,37
labe,Lava Beds National Monument,233,55
lacl,Lake Clark National Park & Preserve,168,42
lake,Lake Mead National Recreation Area,291,57
lamr,Lake Meredith National Recreation Area,81,37
laro,Lake Roosevelt National Recreation Area,238,58
lavo,Lassen Volcanic National Park,210,66
lewi,Lewis and Clark National Historical Park,102,46
libi,Little Bighorn Battlefield National Monument,60,25
libo,Lincoln Boyhood National Memorial,224,38
liri,Little River Canyon National Preserve,147,35
lyba,LBJ Memorial Grove on the Potomac,4,0
lyjo,Lyndon B Johnson National Historical Park,0,35
mabi,Marsh - Billings - Rockefeller National Historical Park,74,34
maca,Mammoth Cave National Park,168,50
mana,Manassas National Battlefield Park,159,26
manz,Manzanar National Historic Site,132,19
mava,Martin Van Buren National Historic Site,84,15
meve,Mesa Verde National Park,207,72
miin,Minidoka National Historic Site,6,13
mima,Minute Man National Historical Park,113,40
miss,Mississippi National River & Recreation Area,293,51
mnrr,Missouri National Recreational River,237,49
moca,Montezuma Castle National Monument,218,73
mocr,Moores Creek National Battlefield,105,25
moja,Mojave National Preserve,151,50
mono,Monocacy National Battlefield,102,24
mora,Mount Rainier National Park,157,59
morr,Morristown National Historical Park,130,15
moru,Mount Rushmore National Memorial,58,37
muwo,Muir Woods National Monument,72,0
nabr,Natural Bridges National Monument,172,47
nace,National Capital Parks-East,253,25
nama,National Mall and Memorial Parks,116,25
natr,Natchez Trace Parkway,135,31
nava,Navajo National Monument,141,51
nepe,Nez Perce National Historical Park,161,46
neri,New River Gorge National Park & Preserve,192,51
niob,Niobrara National Scenic River,224,49
nisi,Ninety Six National Historic Site,150,25
noat,Noatak National Preserve,135,35
noca,North Cascades National Park,225,70
npsa,National Park of American Samoa,45,11
ocmu,Ocmulgee Mounds National Historical Park,172,32
olym,Olympic National Park,263,67
orca,Oregon Caves National Monument & Preserve,117,60
orpi,Organ Pipe Cactus National Monument,275,73
oxhi,Oxon Cove Park & Oxon Hill Farm,173,7
ozar,Ozark National Scenic Riverways,167,55
paal,Palo Alto Battlefield National Historical Park,146,18
pais,Padre Island National Seashore,372,45
para,Grand Canyon-Parashant National Monument,178,62
peco,Pecos National Historical Park,85,31
pefo,Petrified Forest National Park,221,44
peri,Pea Ridge National Military Park,74,44
pete,Petersburg National Battlefield,130,34
petr,Petroglyph National Monument,125,54
pinn,Pinnacles National Park,159,55
pipe,Pipestone National Monument,252,31
piro,Pictured Rocks National Lakeshore,217,52
